user_id,s1_risk_tier,s3_risk_tier,status,reorder_rate,gap_trend,avg_days_between_orders,order_count,revenue_at_risk_90d
4,Medium,Medium,stable_low,0.0555555555555555,0.0,13.75,5,23.89090909090909
5,Medium,Medium,stable_low,0.391304347826087,0.0,11.5,5,73.0
10,Medium,Medium,stable_low,0.3333333333333333,-2.333333333333336,21.8,6,102.55160550458716
11,Medium,Medium,stable_low,0.351063829787234,3.666666666666664,20.5,7,59.77351916376307
12,Medium,Medium,stable_low,0.1756756756756756,0.0,25.0,5,54.02
16,Medium,Medium,stable_low,0.3428571428571428,3.333333333333332,21.8,6,48.834097859327215
18,Medium,Medium,stable_low,0.3,1.333333333333333,5.833333333333333,7,111.73469387755104
19,Medium,Medium,stable_low,0.3480392156862745,2.0,9.5,9,217.71929824561403
23,Medium,Medium,stable_low,0.1923076923076923,0.0,18.5,5,51.2972972972973
30,High,High,stable_high,0.5,16.333333333333332,21.625,9,5.626204238921002
32,Medium,Medium,stable_low,0.2982456140350877,0.0,20.25,5,102.74074074074072
34,Medium,Medium,stable_low,0.2432432432432432,-2.333333333333336,22.0,6,25.57765151515152
35,Low,Low,stable_low,0.5108695652173914,-14.333333333333334,21.375,9,87.27745289148797
39,Medium,Medium,stable_low,0.5177304964539007,2.999999999999999,12.0,7,153.16964285714286
40,Medium,Medium,stable_low,0.6538461538461539,5.0,13.125,9,80.33862433862434
41,Medium,Medium,stable_low,0.275,1.0,26.6,6,45.73934837092732
47,Medium,Medium,stable_low,0.15625,4.333333333333334,9.6,6,50.69444444444444
49,Medium,Medium,stable_low,0.0566037735849056,-0.6666666666666679,24.875,9,21.60245672808487
55,Medium,Medium,stable_low,0.52,2.0,19.428571428571427,8,58.70863970588236
60,Medium,Medium,stable_low,0.3283582089552239,4.666666666666664,24.857142857142858,8,30.744432471264368
66,Medium,Medium,stable_low,0.2666666666666666,0.0,28.83333333333333,7,13.56317093311313
68,Medium,Medium,stable_low,0.2714285714285714,3.0,28.2,6,37.75118203309693
