user_id,order_count,risk_score,risk_tier
1,11,0.3729,Medium
2,15,0.7924,High
3,12,0.4105,Medium
4,5,0.5125,Medium
5,5,0.5037,Medium
7,21,0.194,Low
10,6,0.4646,Medium
11,7,0.5687,Medium
12,5,0.5094,Medium
13,13,0.4853,Medium
14,14,0.412,Medium
15,22,0.3879,Medium
16,6,0.5631,Medium
17,41,0.815,High
18,7,0.5294,Medium
19,9,0.5397,Medium
21,34,0.6343,High
22,15,0.1869,Low
23,5,0.509,Medium
24,19,0.372,Medium
26,12,0.5386,Medium
27,82,0.5418,Medium
28,24,0.3635,Medium
29,19,0.5009,Medium
30,9,0.7857,High
31,20,0.5044,Medium
32,5,0.5062,Medium
34,6,0.4669,Medium
35,9,0.2507,Low
36,37,0.4391,Medium
37,24,0.6709,High
38,13,0.4939,Medium
39,7,0.5527,Medium
40,9,0.5841,Medium
41,6,0.5242,Medium
42,17,0.7666,High
43,12,0.4444,Medium
46,20,0.8,High
47,6,0.5854,Medium
48,11,0.3388,Medium
49,9,0.5009,Medium
50,68,0.4348,Medium
52,28,0.6123,High
54,77,0.4519,Medium
55,8,0.5353,Medium
56,13,0.584,Medium
57,14,0.4875,Medium
58,15,0.7146,High
59,11,0.7246,High
60,8,0.5868,Medium
62,11,0.4638,Medium
63,40,0.4281,Medium
64,11,0.5329,Medium
65,15,0.6717,High
66,7,0.507,Medium
67,25,0.5473,Medium
68,6,0.5592,Medium
69,5,0.5035,Medium
70,14,0.8368,High
71,24,0.7324,High
72,13,0.5487,Medium
73,7,0.5459,Medium
74,6,0.6442,High
75,23,0.5194,Medium
76,10,0.5654,Medium
77,12,0.2951,Low
78,7,0.7842,High
79,8,0.8083,High
80,13,0.3756,Medium
81,8,0.7337,High
82,20,0.4352,Medium
83,7,0.4691,Medium
84,9,0.5064,Medium
85,7,0.4902,Medium
86,18,0.5178,Medium
87,28,0.1653,Low
88,8,0.4584,Medium
89,21,0.4382,Medium
90,72,0.5024,Medium
91,16,0.4631,Medium
92,5,0.5061,Medium
93,15,0.4409,Medium
94,9,0.3229,Medium
95,9,0.5162,Medium
96,17,0.6551,High
97,6,0.4181,Medium
98,14,0.5891,Medium
99,19,0.3696,Medium
100,5,0.5072,Medium
101,20,0.6115,High
102,7,0.4274,Medium
103,18,0.7747,High
104,6,0.3588,Medium
105,8,0.6375,High
107,15,0.4209,Medium
108,8,0.7521,High
109,7,0.5156,Medium
110,21,0.3304,Medium
111,8,0.5433,Medium
112,27,0.3071,Medium
113,6,0.5825,Medium
114,5,0.5015,Medium
115,13,0.2875,Low
116,7,0.4158,Medium
117,12,0.3337,Medium
118,28,0.7164,High
121,11,0.5394,Medium
122,29,0.5855,Medium
123,11,0.1795,Low
124,9,0.5785,Medium
125,14,0.3444,Medium
126,10,0.357,Medium
127,17,0.6395,High
128,12,0.3797,Medium
129,11,0.4723,Medium
131,10,0.5278,Medium
132,25,0.4456,Medium
133,20,0.4368,Medium
134,6,0.5546,Medium
135,5,0.5037,Medium
137,6,0.4969,Medium
138,33,0.5963,Medium
139,5,0.5047,Medium
140,77,0.5005,Medium
142,46,0.2778,Low
143,15,0.5884,Medium
144,8,0.4687,Medium
145,9,0.5876,Medium
146,41,0.4275,Medium
147,14,0.4561,Medium
148,8,0.6599,High
149,15,0.5761,Medium
150,32,0.6645,High
151,11,0.3617,Medium
152,65,0.4705,Medium
153,19,0.5954,Medium
154,35,0.5372,Medium
155,23,0.5862,Medium
157,5,0.5049,Medium
158,5,0.5106,Medium
160,13,0.3544,Medium
161,21,0.6979,High
162,14,0.5193,Medium
163,12,0.5807,Medium
164,11,0.5176,Medium
165,7,0.473,Medium
166,6,0.3931,Medium
167,6,0.4501,Medium
168,22,0.4816,Medium
169,7,0.2899,Low
171,7,0.6833,High
172,6,0.5236,Medium
173,45,0.5664,Medium
174,28,0.3784,Medium
175,24,0.611,High
176,7,0.4322,Medium
177,14,0.4893,Medium
178,6,0.5599,Medium
179,6,0.6233,High
180,6,0.4258,Medium
181,10,0.5485,Medium
182,26,0.6071,High
183,5,0.5071,Medium
184,12,0.2904,Low
185,7,0.5392,Medium
186,7,0.5353,Medium
187,33,0.5654,Medium
188,5,0.5064,Medium
189,12,0.6358,High
190,17,0.7468,High
191,5,0.5114,Medium
192,6,0.4967,Medium
193,6,0.6102,High
194,9,0.6145,High
195,59,0.3942,Medium
197,21,0.4799,Medium
198,6,0.616,High
200,9,0.7395,High
201,8,0.6683,High
202,13,0.4358,Medium
204,59,0.6191,High
205,13,0.6258,High
206,29,0.291,Low
208,19,0.6097,High
209,20,0.6199,High
210,100,0.5152,Medium
211,5,0.5054,Medium
212,13,0.2535,Low
213,6,0.5282,Medium
214,28,0.4575,Medium
215,6,0.5117,Medium
216,17,0.4424,Medium
217,12,0.2343,Low
218,7,0.4314,Medium
219,34,0.4048,Medium
220,17,0.4917,Medium
221,23,0.5763,Medium
222,71,0.5009,Medium
223,50,0.4531,Medium
225,11,0.4701,Medium
226,22,0.5833,Medium
227,31,0.4629,Medium
229,18,0.4081,Medium
230,11,0.4408,Medium
232,36,0.5921,Medium
233,25,0.4941,Medium
234,42,0.5509,Medium
235,22,0.5878,Medium
236,45,0.5443,Medium
237,8,0.5032,Medium
238,7,0.6011,High
239,6,0.4275,Medium
240,6,0.5063,Medium
241,14,0.4993,Medium
242,17,0.3042,Medium
243,28,0.2926,Low
244,7,0.343,Medium
245,6,0.505,Medium
246,5,0.5076,Medium
247,5,0.5081,Medium
248,58,0.4989,Medium
249,10,0.4903,Medium
250,12,0.4196,Medium
251,10,0.4491,Medium
252,5,0.5089,Medium
254,11,0.5098,Medium
255,5,0.5041,Medium
256,19,0.4411,Medium
257,20,0.5195,Medium
258,25,0.4653,Medium
260,18,0.56,Medium
261,9,0.5164,Medium
262,46,0.4034,Medium
264,30,0.2863,Low
265,7,0.7322,High
266,5,0.5105,Medium
267,10,0.6916,High
268,9,0.6042,High
270,23,0.6261,High
271,16,0.6912,High
272,10,0.7419,High
273,20,0.5367,Medium
274,14,0.3205,Medium
275,14,0.4159,Medium
276,9,0.7164,High
278,69,0.534,Medium
279,14,0.4208,Medium
280,42,0.7155,High
281,30,0.5508,Medium
283,6,0.5065,Medium
284,17,0.4612,Medium
285,5,0.5093,Medium
287,14,0.7014,High
289,50,0.4336,Medium
290,51,0.4968,Medium
291,5,0.5111,Medium
292,8,0.5521,Medium
293,9,0.5822,Medium
294,16,0.7961,High
295,24,0.5398,Medium
296,7,0.5005,Medium
297,11,0.4114,Medium
299,9,0.6473,High
300,39,0.6132,High
301,18,0.714,High
302,10,0.5977,Medium
303,8,0.3685,Medium
304,43,0.447,Medium
305,5,0.5073,Medium
306,25,0.3884,Medium
307,34,0.3763,Medium
309,26,0.4907,Medium
310,100,0.5245,Medium
311,15,0.352,Medium
313,100,0.4805,Medium
314,6,0.5096,Medium
315,5,0.5051,Medium
316,21,0.391,Medium
317,5,0.5115,Medium
318,7,0.5206,Medium
319,9,0.5527,Medium
320,5,0.5092,Medium
321,33,0.4206,Medium
322,15,0.4758,Medium
323,72,0.3773,Medium
324,12,0.6904,High
325,8,0.5091,Medium
326,6,0.5168,Medium
327,64,0.4733,Medium
328,13,0.5994,Medium
329,9,0.7016,High
330,8,0.549,Medium
331,8,0.6204,High
332,12,0.3832,Medium
333,8,0.5804,Medium
334,64,0.5584,Medium
335,6,0.5134,Medium
336,11,0.5538,Medium
337,13,0.5376,Medium
338,5,0.5069,Medium
340,6,0.5466,Medium
341,12,0.3496,Medium
342,17,0.662,High
343,5,0.51,Medium
344,9,0.3783,Medium
346,7,0.5207,Medium
348,29,0.7012,High
349,8,0.2801,Low
350,15,0.477,Medium
351,15,0.5831,Medium
352,10,0.5381,Medium
353,12,0.2224,Low
354,5,0.4953,Medium
355,14,0.3095,Medium
357,9,0.5886,Medium
358,8,0.4172,Medium
359,16,0.2586,Low
361,7,0.4079,Medium
362,11,0.1861,Low
363,13,0.356,Medium
364,18,0.3161,Medium
365,16,0.4653,Medium
369,16,0.3663,Medium
370,28,0.5089,Medium
372,13,0.6085,High
373,58,0.3563,Medium
374,17,0.5358,Medium
375,8,0.5971,Medium
376,9,0.4941,Medium
378,9,0.5341,Medium
379,20,0.6024,High
380,13,0.7723,High
381,16,0.3891,Medium
382,30,0.5909,Medium
383,10,0.6059,High
384,10,0.4592,Medium
385,5,0.5053,Medium
387,9,0.4903,Medium
388,10,0.6095,High
389,12,0.4357,Medium
390,23,0.4959,Medium
391,24,0.502,Medium
392,6,0.4349,Medium
393,11,0.5842,Medium
394,5,0.5045,Medium
396,19,0.7125,High
398,53,0.4824,Medium
400,5,0.5027,Medium
401,5,0.5088,Medium
402,5,0.4973,Medium
403,33,0.7047,High
404,7,0.6462,High
405,5,0.5105,Medium
406,5,0.5094,Medium
409,87,0.5972,Medium
410,28,0.4797,Medium
411,12,0.4023,Medium
412,5,0.5134,Medium
413,20,0.2426,Low
415,6,0.5062,Medium
417,10,0.5133,Medium
418,8,0.493,Medium
419,25,0.2603,Low
420,22,0.223,Low
422,27,0.3847,Medium
423,42,0.5654,Medium
425,8,0.7723,High
426,14,0.61,High
427,8,0.4786,Medium
429,30,0.4181,Medium
430,9,0.1625,Low
431,10,0.5383,Medium
432,53,0.4194,Medium
433,6,0.3838,Medium
434,5,0.5055,Medium
435,14,0.4786,Medium
436,16,0.4555,Medium
437,20,0.5354,Medium
438,12,0.3762,Medium
439,9,0.6061,High
440,18,0.6142,High
441,15,0.6088,High
442,13,0.6015,High
443,10,0.4635,Medium
444,43,0.4913,Medium
446,9,0.4001,Medium
447,5,0.5032,Medium
448,34,0.4121,Medium
449,22,0.4999,Medium
450,17,0.4887,Medium
451,32,0.1155,Low
452,25,0.3556,Medium
453,14,0.8676,High
454,55,0.343,Medium
455,7,0.5138,Medium
456,7,0.5879,Medium
457,5,0.5015,Medium
458,14,0.3825,Medium
459,24,0.3718,Medium
462,59,0.6195,High
463,7,0.5302,Medium
464,49,0.6676,High
465,41,0.4618,Medium
466,32,0.4623,Medium
467,5,0.504,Medium
468,7,0.4402,Medium
469,9,0.6542,High
470,17,0.492,Medium
471,7,0.5215,Medium
472,5,0.5061,Medium
473,12,0.4763,Medium
474,29,0.4129,Medium
475,29,0.6942,High
476,17,0.2699,Low
477,5,0.5057,Medium
478,9,0.3779,Medium
479,24,0.6887,High
480,13,0.5096,Medium
481,36,0.5872,Medium
482,9,0.4063,Medium
483,10,0.5347,Medium
484,11,0.4353,Medium
485,12,0.394,Medium
486,13,0.3237,Medium
487,34,0.2927,Low
488,7,0.5072,Medium
489,8,0.8669,High
492,5,0.5007,Medium
493,8,0.2851,Low
495,25,0.5095,Medium
496,82,0.4825,Medium
497,10,0.5288,Medium
498,12,0.5002,Medium
499,7,0.5123,Medium
501,7,0.6843,High
502,8,0.6901,High
503,36,0.6781,High
504,5,0.5068,Medium
506,5,0.5058,Medium
507,7,0.5772,Medium
508,19,0.4914,Medium
509,12,0.6453,High
510,9,0.5503,Medium
511,6,0.6428,High
512,5,0.5081,Medium
514,6,0.5192,Medium
515,20,0.6559,High
516,93,0.4868,Medium
517,5,0.4975,Medium
518,6,0.4519,Medium
519,11,0.6287,High
520,30,0.5689,Medium
521,7,0.4553,Medium
522,10,0.5623,Medium
523,13,0.6022,High
524,6,0.6072,High
525,37,0.5616,Medium
526,5,0.4992,Medium
528,35,0.5874,Medium
529,50,0.4345,Medium
531,30,0.178,Low
532,5,0.5076,Medium
533,5,0.5084,Medium
534,8,0.2819,Low
535,28,0.4666,Medium
537,5,0.5127,Medium
538,27,0.4432,Medium
539,17,0.4396,Medium
540,6,0.42,Medium
541,6,0.6044,High
543,11,0.5887,Medium
544,5,0.5096,Medium
545,5,0.5064,Medium
546,7,0.5458,Medium
547,11,0.543,Medium
548,7,0.5168,Medium
549,11,0.8537,High
550,5,0.5011,Medium
551,10,0.477,Medium
552,13,0.2683,Low
553,9,0.1871,Low
554,7,0.4039,Medium
555,12,0.384,Medium
557,5,0.5091,Medium
