user_id,order_count
91977,3
73241,4
100208,4
112125,4
62481,4
109712,4
91926,4
36278,4
155472,4
186231,3
35556,4
3351,3
151223,4
73068,4
152537,4
170906,4
120615,4
143268,4
71113,4
146969,4
10799,3
146752,4
41498,4
38259,4
111083,4
38668,4
114666,4
69335,4
23475,4
79059,4
8018,4
107922,4
34094,3
85283,3
94732,3
37578,3
79812,3
109247,4
182964,4
186051,4
76380,4
174277,4
125988,3
203687,4
147989,4
6766,4
121169,4
196766,4
10988,4
47819,4
84498,3
65748,4
195701,4
98002,4
38304,4
203443,4
136030,4
10228,3
141267,4
14348,3
170962,3
76962,4
187020,4
108660,4
74252,4
73270,3
116861,4
198806,4
36436,3
75861,4
62224,3
158444,3
77702,4
147003,4
137112,4
133077,4
47890,4
127541,4
181402,4
125473,4
63582,4
65247,3
12326,4
17965,4
44395,4
8967,4
204829,4
85964,4
182020,4
27281,3
31419,4
78408,4
31895,4
63995,3
38453,4
148001,4
109592,4
117396,3
4931,4
81121,4
169326,4
122038,4
63567,4
41725,4
57725,4
34389,3
183620,3
166398,3
177907,4
45297,4
48340,3
108092,3
76100,3
202650,4
24272,4
182644,4
162544,4
29288,3
94423,4
185111,4
174869,4
17168,3
155262,3
168416,3
103026,3
163311,4
31807,4
140404,3
143363,3
108498,3
175836,4
160364,4
123042,4
87720,4
123993,4
186986,4
74592,4
123002,3
190391,3
179408,4
39545,4
69645,3
157129,4
132328,4
81855,3
124653,3
129515,4
55968,4
103486,4
70118,4
79768,4
190945,4
56509,4
105144,3
174439,4
181263,4
119870,4
110992,4
107935,4
69901,3
1710,4
55651,4
31847,4
110356,4
83461,4
125553,4
156551,4
12951,4
71376,4
145734,4
69413,3
75152,4
178511,4
79308,4
174195,4
68013,4
103769,4
151935,4
74714,4
54869,3
200203,3
119458,4
102191,4
103887,4
146018,4
154662,4
170829,4
200008,4
79005,3
107686,3
78627,3
84096,4
189134,4
31516,3
30182,4
92300,4
171971,4
92428,3
158326,4
120233,4
46245,3
120058,4
5758,3
110488,4
16022,3
46177,3
204384,4
33391,3
10585,4
2059,4
187232,4
8175,4
83466,3
169487,4
181492,4
192971,4
109275,4
37738,4
136209,4
176509,4
87556,4
74293,4
71650,4
174955,4
35849,3
13288,4
136118,3
94817,4
203720,4
51476,4
135833,4
3366,4
50200,3
107843,4
35678,4
53491,4
52906,3
35086,4
176605,4
108768,4
73487,3
111438,4
193972,4
189460,4
37175,3
87926,4
138056,3
43342,4
7203,4
137693,4
88719,4
38863,4
170911,4
141775,3
159289,4
170634,3
106672,4
112179,4
184410,4
189315,4
27268,4
203698,4
4549,4
85240,4
71662,4
22211,4
188236,3
113774,4
28401,3
96017,4
93182,3
115506,4
197505,3
161119,4
106493,4
38858,4
6877,4
1696,4
10434,4
76795,3
24504,4
98692,4
183433,4
162153,4
11082,4
157392,3
173886,3
34333,4
111768,3
148946,4
44345,3
172715,3
30904,3
76432,3
96473,3
123615,3
104472,4
3947,4
13570,4
187750,3
135596,4
123592,4
170228,3
30856,4
139673,4
160530,4
17056,4
3459,4
126072,4
63259,3
110737,3
37126,3
113328,4
52141,4
118143,3
92553,4
109905,4
124617,4
168830,4
117578,4
162902,4
11592,4
182345,4
174253,4
49754,3
102785,4
99852,3
205156,4
186133,4
205619,4
167804,4
50198,4
140418,3
158251,4
61610,4
70876,4
175026,4
95403,4
21314,4
201039,4
28250,3
131661,3
180010,4
161160,4
185271,4
191447,4
127010,4
76018,4
118363,3
155276,4
50616,3
75364,3
126955,4
181663,3
82929,4
117934,3
196307,3
204752,4
18650,4
105011,4
122113,4
17839,4
184371,3
86769,4
93702,4
171301,4
57923,4
167209,4
15885,4
130847,4
2092,4
52465,3
67451,4
153736,4
42423,3
186214,3
65098,4
166681,4
182129,4
147307,4
201274,3
100241,4
35968,3
157786,4
101145,3
180365,4
94193,4
182574,4
163223,4
46269,4
114821,4
164762,3
1632,4
55133,4
182599,4
205264,4
91749,4
27772,4
129536,4
117971,4
31998,4
152193,4
95020,4
116673,3
193200,4
5010,4
163781,4
56999,3
91996,4
190054,3
123653,4
131943,4
175491,3
116495,3
5439,4
72640,4
161554,4
99064,4
18261,4
36271,3
167726,3
205550,4
119755,4
67055,3
193462,4
136927,4
51508,3
81707,3
128608,4
192264,4
54743,4
148982,3
137249,4
90887,4
73267,3
200688,4
148774,4
26325,4
139632,4
160223,4
157262,4
170716,4
66010,3
16456,4
64675,4
92296,4
115964,4
118704,4
100565,3
50811,4
21642,4
194316,3
126617,3
100810,3
88482,3
13485,4
69500,3
57278,3
195472,4
148436,4
83143,4
190232,3
80512,3
151516,3
11241,4
113447,3
71936,4
19043,3
194956,4
180175,3
147854,4
139718,4
171945,3
34174,4
102874,3
156802,4
158475,4
13748,4
151737,4
92183,4
127503,4
100614,3
180895,4
183670,4
69905,4
174407,4
133348,4
76707,4
61100,4
132888,4
99917,3
104903,4
205151,4
92715,3
145514,3
32803,4
31990,4
2299,4
150507,3
14817,4
45640,4
131124,4
117832,3
1302,4
84009,3
38525,4
39295,3
100180,4
146618,4
192756,4
149220,4
161407,4
11171,4
139552,4
64528,3
35632,4
86662,4
168565,4
69432,4
11365,4
186464,4
72289,3
169231,4
203589,4
122386,3
32221,3
53187,4
178006,4
127030,4
33343,3
151481,3
43826,4
97311,4
58262,4
152463,4
2599,3
160648,3
164327,4
64802,4
33268,4
175237,4
139777,4
79494,3
57862,4
25838,4
36650,3
132679,3
122777,4
176211,4
103468,3
21310,4
84853,3
64287,4
47006,4
111786,4
59894,4
100655,3
72844,4
146428,3
159978,4
102092,4
188633,4
84789,4
103276,3
196890,4
175887,3
200367,4
5149,4
70040,4
92547,4
199259,4
28473,3
200408,3
128292,4
109201,4
160071,4
156454,4
106252,4
107744,4
195229,4
174162,4
186693,4
178601,4
1223,3
110533,4
167532,4
203490,3
14892,4
71343,4
176674,4
107856,4
124086,4
107939,4
87103,4
168489,4
70642,4
55053,4
64439,4
108264,4
120765,4
197043,4
177440,4
180261,3
1061,4
46517,4
144749,4
58229,4
65018,4
7780,4
25665,4
114139,4
98471,4
86442,4
191304,4
143424,4
151788,3
93919,4
24148,4
32420,4
29782,4
188442,4
192053,4
144126,4
148424,4
195581,4
67350,4
122425,3
147955,4
33762,4
147961,4
35913,4
85246,4
201392,4
101964,3
28748,4
4058,4
9712,4
99475,4
202619,4
87611,4
33939,4
111171,4
2084,3
42771,4
172452,4
24385,4
97877,4
170563,4
40624,3
55828,4
66814,4
42233,4
71648,4
40791,3
202277,4
152635,4
78414,4
65562,3
107028,3
133588,3
123018,4
20357,4
77427,4
143903,4
199526,4
89719,4
92893,4
119388,4
152352,4
185055,4
102124,3
191542,3
179689,3
14832,4
155071,4
62608,4
5465,4
55374,4
112610,4
24593,4
169545,4
85196,3
159,4
88548,4
71400,4
127533,4
175297,4
11532,4
75596,4
188771,4
108478,4
168048,3
16344,4
106456,4
37894,3
166525,4
201163,4
175135,4
29799,4
68804,3
42767,4
33651,3
7299,4
154115,4
184243,3
55290,3
139653,4
104749,4
56575,4
40661,4
54633,4
98338,4
178634,4
138755,4
73067,4
45023,4
175821,4
153581,4
117790,3
135830,3
192482,4
124859,4
116447,3
1932,3
54985,4
108663,4
159565,4
103822,3
7943,4
179212,4
42793,3
176839,4
162453,4
103519,4
19218,4
166332,4
83279,4
110933,3
178073,3
31462,4
92639,4
136171,3
145116,4
25032,3
55767,4
132748,4
14214,4
98392,4
205308,4
93107,3
162475,3
191279,4
85340,4
152497,4
7335,4
48124,4
165797,4
174747,4
8579,4
109976,4
117713,4
17395,4
197588,3
108084,4
146614,3
181853,4
199694,3
142575,4
166978,4
165631,4
6201,3
180569,3
1135,4
149164,4
23408,4
171170,4
39710,4
104811,3
191121,4
33162,3
93397,4
44275,4
41044,4
124485,4
182771,4
123017,4
174265,4
190254,3
19244,4
117838,4
199053,3
55078,4
64924,4
137117,4
7819,4
78109,4
27593,4
76617,4
36192,3
55032,3
94314,4
199494,4
104122,3
49232,3
52685,4
121890,3
160278,4
185585,4
100111,4
146973,3
126520,4
146472,4
27851,3
113542,4
56138,4
83081,4
163239,3
61984,4
36407,4
112692,3
137073,4
91882,4
183415,4
42422,3
177809,4
125437,3
37764,3
2337,4
20231,4
44907,4
138673,4
25939,4
163193,4
196203,4
171620,3
194717,4
114421,4
98178,4
144888,3
181985,4
106752,3
11598,3
143685,4
99275,4
177066,3
135618,4
194067,4
196986,4
160158,4
42127,3
153811,4
118709,4
4207,4
6665,4
124305,3
173438,4
116071,4
85971,4
83788,4
13313,4
39785,4
34205,3
114287,4
30365,4
33936,4
40330,3
176540,4
173536,4
84530,4
132660,4
39146,4
110214,3
146854,4
203993,4
93948,4
25312,4
159850,4
145535,4
96609,4
37857,4
180443,3
177861,4
118062,4
113590,4
92687,3
96810,3
91884,3
1663,3
117281,4
121544,4
151029,4
203865,3
135703,4
119938,4
14087,4
5966,4
161806,4
66121,4
173080,4
61867,3
154759,3
122189,3
47329,4
183434,3
190792,3
198357,4
112056,4
85879,4
129692,4
115339,4
156904,4
52295,4
202808,4
22096,4
66262,4
36078,4
35031,4
11606,4
169383,3
191243,4
61249,3
152066,4
37721,4
53446,4
56260,4
204921,4
176709,3
168502,3
95662,4
30414,4
93709,4
134356,4
70646,4
193428,4
140787,4
81098,4
137281,4
118037,4
189758,4
106935,4
145387,4
115156,4
169360,4
64403,3
152555,4
150650,3
195282,4
79889,3
113878,4
82502,4
11727,4
21737,4
197481,4
10432,3
48220,4
71084,4
94264,4
69436,4
137533,4
173560,4
93511,4
104763,3
189155,4
175502,4
108357,3
81642,4
185456,4
10185,3
188637,4
79992,4
140688,4
75661,4
131704,4
204432,4
5690,3
134741,4
205675,4
177315,4
180746,4
16719,4
103649,4
155203,4
